date,session_key,meeting_key,driver_number,pit_duration,lap_number
2023-07-02T13:33:18.069000+00:00,9118,1213,22,27.2,23.0
2023-07-02T13:33:35.443000+00:00,9118,1213,1,21.3,24.0
2023-07-02T13:35:09.988000+00:00,9118,1213,11,21.6,25.0
2023-07-02T13:46:31.476000+00:00,9118,1213,20,22.2,34.0
2023-07-02T13:48:33.021000+00:00,9118,1213,18,22.0,36.0
2023-07-02T13:50:02.972000+00:00,9118,1213,21,21.0,37.0
2023-07-02T13:51:11.206000+00:00,9118,1213,24,21.9,38.0
2023-07-02T13:53:26.781000+00:00,9118,1213,31,30.4,40.0
2023-07-02T13:53:44.797000+00:00,9118,1213,77,21.9,40.0
2023-07-02T13:54:01.562000+00:00,9118,1213,4,22.0,41.0
2023-07-02T13:54:19.468000+00:00,9118,1213,63,21.7,41.0
2023-07-02T13:54:32.593000+00:00,9118,1213,23,27.6,41.0
2023-07-02T13:54:59.592000+00:00,9118,1213,81,22.3,41.0
2023-07-02T13:55:18.873000+00:00,9118,1213,44,27.7,42.0
2023-07-02T13:57:02.277000+00:00,9118,1213,2,21.5,43.0
2023-07-02T13:57:18.496000+00:00,9118,1213,22,21.3,43.0
2023-07-02T13:57:37.886000+00:00,9118,1213,14,21.9,44.0
2023-07-02T13:57:58.776000+00:00,9118,1213,10,27.8,44.0
2023-07-02T13:58:39.385000+00:00,9118,1213,55,28.5,45.0
2023-07-02T14:00:48.336000+00:00,9118,1213,16,21.4,47.0
2023-07-02T14:02:53.490000+00:00,9118,1213,1,21.6,49.0
2023-07-02T14:04:28.879000+00:00,9118,1213,11,21.2,50.0
2023-07-02T14:09:50.842000+00:00,9118,1213,18,21.8,54.0
2023-07-02T14:26:05.356000+00:00,9118,1213,1,21.3,69.0
2023-07-09T14:14:59.362000+00:00,9126,1214,27,41.9,7.0
2023-07-09T14:25:44.273000+00:00,9126,1214,22,28.3,14.0
2023-07-09T14:31:37.391000+00:00,9126,1214,16,28.2,18.0
2023-07-09T14:41:26.225000+00:00,9126,1214,24,29.1,24.0
2023-07-09T14:44:05.366000+00:00,9126,1214,55,28.8,26.0
2023-07-09T14:46:03.349000+00:00,9126,1214,21,28.2,27.0
2023-07-09T14:47:07.832000+00:00,9126,1214,63,29.4,28.0
2023-07-09T14:47:18.879000+00:00,9126,1214,11,28.0,28.0
2023-07-09T14:48:34.502000+00:00,9126,1214,81,28.6,29.0
2023-07-09T14:49:06.924000+00:00,9126,1214,2,28.8,29.0
2023-07-09T14:51:59.061000+00:00,9126,1214,10,28.4,31.0
2023-07-09T14:52:09.014000+00:00,9126,1214,18,28.5,31.0
2023-07-09T14:53:40.184000+00:00,9126,1214,23,29.6,32.0
2023-07-09T14:53:40.559000+00:00,9126,1214,16,28.8,32.0
2023-07-09T14:54:08.949000+00:00,9126,1214,77,29.6,32.0
2023-07-09T14:54:17.418000+00:00,9126,1214,22,28.6,32.0
2023-07-09T14:54:24.543000+00:00,9126,1214,21,28.4,32.0
2023-07-09T14:54:41.464000+00:00,9126,1214,27,30.0,32.0
2023-07-09T14:54:58.871000+00:00,9126,1214,1,29.0,33.0
2023-07-09T14:55:12.183000+00:00,9126,1214,4,28.4,33.0
2023-07-09T14:55:27.761000+00:00,9126,1214,44,29.1,33.0
2023-07-09T14:55:38.635000+00:00,9126,1214,14,28.6,33.0
2023-07-09T14:56:37.462000+00:00,9126,1214,24,28.7,33.0
2023-07-09T15:03:13.908000+00:00,9126,1214,24,34.3,36.0
2023-07-23T13:15:10.245000+00:00,9133,1215,23,22.0,8.0
2023-07-23T13:16:32.384000+00:00,9133,1215,18,21.9,9.0
2023-07-23T13:16:34.056000+00:00,9133,1215,77,22.1,9.0
2023-07-23T13:16:37.321000+00:00,9133,1215,22,26.1,9.0
2023-07-23T13:18:10.351000+00:00,9133,1215,24,29.2,10.0
2023-07-23T13:22:23.628000+00:00,9133,1215,2,24.0,13.0
2023-07-23T13:23:47.501000+00:00,9133,1215,20,22.7,14.0
2023-07-23T13:24:58.984000+00:00,9133,1215,55,21.4,15.0
2023-07-23T13:26:18.452000+00:00,9133,1215,44,21.9,16.0
2023-07-23T13:26:34.904000+00:00,9133,1215,27,22.9,16.0
2023-07-23T13:27:38.903000+00:00,9133,1215,4,21.5,17.0
2023-07-23T13:27:52.778000+00:00,9133,1215,16,28.4,17.0
2023-07-23T13:29:01.402000+00:00,9133,1215,81,21.1,18.0
2023-07-23T13:29:32.901000+00:00,9133,1215,3,21.9,18.0
2023-07-23T13:32:09.852000+00:00,9133,1215,14,22.9,20.0
2023-07-23T13:35:54.223000+00:00,9133,1215,1,21.4,23.0
2023-07-23T13:37:42.736000+00:00,9133,1215,11,21.8,24.0
2023-07-23T13:43:43.095000+00:00,9133,1215,63,21.8,28.0
2023-07-23T13:45:35.625000+00:00,9133,1215,3,22.2,29.0
2023-07-23T13:48:16.247000+00:00,9133,1215,23,21.7,31.0
2023-07-23T13:52:25.274000+00:00,9133,1215,18,22.4,34.0
2023-07-23T13:52:46.773000+00:00,9133,1215,2,22.1,34.0
2023-07-23T13:58:20.720000+00:00,9133,1215,27,21.9,38.0
2023-07-23T13:58:26.142000+00:00,9133,1215,24,22.8,38.0
2023-07-23T14:01:02.843000+00:00,9133,1215,77,23.2,40.0
2023-07-23T14:02:55.184000+00:00,9133,1215,20,22.1,41.0
2023-07-23T14:03:10.559000+00:00,9133,1215,81,22.0,42.0
2023-07-23T14:03:12.700000+00:00,9133,1215,11,20.8,42.0
2023-07-23T14:04:53.776000+00:00,9133,1215,16,21.4,43.0
2023-07-23T14:05:04.463000+00:00,9133,1215,14,24.1,43.0
2023-07-23T14:05:50.087000+00:00,9133,1215,4,21.4,44.0
2023-07-23T14:06:18.603000+00:00,9133,1215,55,22.0,44.0
2023-07-23T14:06:55.477000+00:00,9133,1215,22,21.1,44.0
2023-07-23T14:09:11.959000+00:00,9133,1215,63,21.6,46.0
2023-07-23T14:13:04.017000+00:00,9133,1215,44,21.7,49.0
2023-07-23T14:15:15.906000+00:00,9133,1215,1,21.6,51.0
2023-07-30T13:13:52.872000+00:00,9141,1216,4,25.0,5.0
2023-07-30T13:13:54.732000+00:00,9141,1216,3,22.8,5.0
2023-07-30T13:13:54.872000+00:00,9141,1216,20,23.6,5.0
2023-07-30T13:15:47.371000+00:00,9141,1216,31,23.0,6.0
2023-07-30T13:15:48.574000+00:00,9141,1216,77,23.3,6.0
2023-07-30T13:17:39.917000+00:00,9141,1216,23,25.0,7.0
2023-07-30T13:17:44.135000+00:00,9141,1216,55,23.3,7.0
2023-07-30T13:17:46.151000+00:00,9141,1216,24,24.4,7.0
2023-07-30T13:19:38.525000+00:00,9141,1216,2,23.5,8.0
2023-07-30T13:21:22.102000+00:00,9141,1216,22,22.6,9.0
2023-07-30T13:23:11.944000+00:00,9141,1216,14,23.0,10.0
2023-07-30T13:26:50.911000+00:00,9141,1216,44,23.0,12.0
2023-07-30T13:27:21.129000+00:00,9141,1216,27,24.5,12.0
2023-07-30T13:28:34.034000+00:00,9141,1216,11,23.6,13.0
2023-07-30T13:28:39.784000+00:00,9141,1216,16,23.2,13.0
2023-07-30T13:30:28.299000+00:00,9141,1216,1,22.8,14.0
2023-07-30T13:37:01.638000+00:00,9141,1216,4,23.7,17.0
2023-07-30T13:42:38.463000+00:00,9141,1216,18,25.3,20.0
2023-07-30T13:46:24.960000+00:00,9141,1216,63,23.8,22.0
2023-07-30T13:46:42.507000+00:00,9141,1216,3,23.2,22.0
2023-07-30T13:48:26.459000+00:00,9141,1216,23,23.5,23.0
2023-07-30T13:48:26.709000+00:00,9141,1216,10,25.6,23.0
2023-07-30T13:50:15.661000+00:00,9141,1216,22,22.7,24.0
2023-07-30T13:50:26.723000+00:00,9141,1216,77,23.7,24.0
2023-07-30T13:50:29.661000+00:00,9141,1216,27,25.2,24.0
2023-07-30T13:50:34.082000+00:00,9141,1216,2,23.9,24.0
2023-07-30T13:52:14.362000+00:00,9141,1216,31,23.3,25.0
2023-07-30T13:52:19.066000+00:00,9141,1216,20,23.5,25.0
2023-07-30T13:52:25.862000+00:00,9141,1216,24,24.0,25.0
2023-07-30T13:55:23.423000+00:00,9141,1216,44,23.0,27.0
2023-07-30T13:57:11.766000+00:00,9141,1216,16,23.1,28.0
2023-07-30T13:58:57.311000+00:00,9141,1216,11,22.7,29.0
2023-07-30T13:59:25.733000+00:00,9141,1216,14,23.7,29.0
2023-07-30T14:00:39.544000+00:00,9141,1216,1,23.0,30.0
2023-07-30T14:07:30.446000+00:00,9141,1216,23,23.5,33.0
2023-07-30T14:09:33.023000+00:00,9141,1216,2,23.1,34.0
2023-07-30T14:23:28.733000+00:00,9141,1216,44,23.1,42.0
2023-08-27T13:05:06.440000+00:00,9149,1217,11,22.6,1.0
2023-08-27T13:05:12.596000+00:00,9149,1217,24,23.0,1.0
2023-08-27T13:05:16.565000+00:00,9149,1217,10,28.4,1.0
2023-08-27T13:05:19.518000+00:00,9149,1217,16,32.6,1.0
2023-08-27T13:05:23.252000+00:00,9149,1217,22,32.3,1.0
2023-08-27T13:05:27.440000+00:00,9149,1217,20,31.3,1.0
2023-08-27T13:05:36.987000+00:00,9149,1217,40,42.6,1.0
2023-08-27T13:06:45.985000+00:00,9149,1217,1,20.3,2.0
2023-08-27T13:06:47.579000+00:00,9149,1217,14,20.6,2.0
2023-08-27T13:06:52.766000+00:00,9149,1217,55,20.9,2.0
2023-08-27T13:07:02.688000+00:00,9149,1217,31,22.5,2.0
2023-08-27T13:08:39.468000+00:00,9149,1217,4,20.1,3.0
2023-08-27T13:08:56.514000+00:00,9149,1217,44,20.2,3.0
2023-08-27T13:10:22.356000+00:00,9149,1217,63,21.2,4.0
2023-08-27T13:10:37.481000+00:00,9149,1217,18,20.0,4.0
2023-08-27T13:17:20.068000+00:00,9149,1217,20,20.1,9.0
2023-08-27T13:17:47.286000+00:00,9149,1217,44,19.9,9.0
2023-08-27T13:18:05.598000+00:00,9149,1217,18,20.2,9.0
2023-08-27T13:18:29.723000+00:00,9149,1217,24,20.2,10.0
2023-08-27T13:18:31.192000+00:00,9149,1217,14,20.1,10.0
2023-08-27T13:18:36.504000+00:00,9149,1217,55,19.5,10.0
2023-08-27T13:18:44.129000+00:00,9149,1217,22,18.9,10.0
2023-08-27T13:18:47.066000+00:00,9149,1217,31,19.7,10.0
2023-08-27T13:18:54.488000+00:00,9149,1217,4,20.3,10.0
2023-08-27T13:19:09.253000+00:00,9149,1217,40,30.8,10.0
2023-08-27T13:19:16.410000+00:00,9149,1217,63,20.1,10.0
2023-08-27T13:19:44.190000+00:00,9149,1217,1,19.2,11.0
2023-08-27T13:19:54.034000+00:00,9149,1217,10,19.5,11.0
2023-08-27T13:20:14.346000+00:00,9149,1217,16,27.2,11.0
2023-08-27T13:21:06.845000+00:00,9149,1217,11,19.4,12.0
2023-08-27T13:25:37.934000+00:00,9149,1217,81,18.9,15.0
2023-08-27T13:27:29.916000+00:00,9149,1217,77,20.1,16.0
2023-08-27T13:27:31.229000+00:00,9149,1217,27,20.4,16.0
2023-08-27T13:27:51.057000+00:00,9149,1217,63,19.6,16.0
2023-08-27T13:28:13.650000+00:00,9149,1217,18,19.6,16.0
2023-08-27T13:29:42.539000+00:00,9149,1217,40,19.6,17.0
2023-08-27T13:53:58.873000+00:00,9149,1217,18,19.9,34.0
2023-08-27T13:55:09.153000+00:00,9149,1217,20,20.5,35.0
2023-08-27T13:57:40.728000+00:00,9149,1217,24,20.4,37.0
2023-08-27T14:02:27.004000+00:00,9149,1217,55,19.3,41.0
2023-08-27T14:03:56.940000+00:00,9149,1217,4,18.8,42.0
2023-08-27T14:05:09.704000+00:00,9149,1217,31,19.0,43.0
2023-08-27T14:06:21.547000+00:00,9149,1217,23,19.6,44.0
2023-08-27T14:07:17.874000+00:00,9149,1217,11,18.7,45.0
2023-08-27T14:07:46.827000+00:00,9149,1217,44,19.3,45.0
2023-08-27T14:08:47.607000+00:00,9149,1217,10,25.4,46.0
2023-08-27T14:09:05.747000+00:00,9149,1217,81,19.1,46.0
2023-08-27T14:09:28.965000+00:00,9149,1217,40,19.1,46.0
2023-08-27T14:10:38.230000+00:00,9149,1217,77,20.2,47.0
2023-08-27T14:11:16.807000+00:00,9149,1217,14,25.1,48.0
2023-08-27T14:11:51.900000+00:00,9149,1217,27,19.7,48.0
2023-08-27T14:12:11.416000+00:00,9149,1217,1,18.7,49.0
2023-08-27T14:26:05.432000+00:00,9149,1217,77,19.7,59.0
2023-08-27T14:26:08.760000+00:00,9149,1217,40,19.3,59.0
2023-08-27T14:26:28.650000+00:00,9149,1217,11,27.5,60.0
2023-08-27T14:26:42.119000+00:00,9149,1217,10,20.4,60.0
2023-08-27T14:26:43.384000+00:00,9149,1217,55,19.8,60.0
2023-08-27T14:26:51.822000+00:00,9149,1217,44,20.7,60.0
2023-08-27T14:26:55.759000+00:00,9149,1217,4,19.8,60.0
2023-08-27T14:26:58.603000+00:00,9149,1217,63,24.0,60.0
2023-08-27T14:27:03.572000+00:00,9149,1217,81,22.3,60.0
2023-08-27T14:27:11.837000+00:00,9149,1217,22,20.6,60.0
2023-08-27T14:27:15.899000+00:00,9149,1217,24,21.4,60.0
2023-08-27T14:27:20.165000+00:00,9149,1217,18,21.5,60.0
2023-08-27T14:27:22.821000+00:00,9149,1217,27,23.5,60.0
2023-08-27T14:27:30.852000+00:00,9149,1217,1,19.4,61.0
2023-08-27T14:27:33.274000+00:00,9149,1217,20,23.5,60.0
2023-08-27T14:27:56.493000+00:00,9149,1217,14,20.6,61.0
2023-08-27T14:28:18.914000+00:00,9149,1217,23,21.3,61.0
2023-08-27T14:28:25.758000+00:00,9149,1217,31,22.0,61.0
2023-08-27T14:30:47.349000+00:00,9149,1217,1,20.4,63.0
2023-08-27T15:12:06.164000+00:00,9149,1217,11,2461.6,63.0
2023-08-27T15:12:12.539000+00:00,9149,1217,4,2443.2,63.0
2023-08-27T15:12:18.554000+00:00,9149,1217,63,2446.2,63.0
2023-08-27T15:12:21.820000+00:00,9149,1217,23,2443.4,63.0
2023-08-27T15:12:24.242000+00:00,9149,1217,81,2434.6,63.0
2023-08-27T15:12:25.992000+00:00,9149,1217,31,2432.2,63.0
2023-08-27T15:12:29.304000+00:00,9149,1217,22,2414.8,63.0
2023-08-27T15:12:31.914000+00:00,9149,1217,18,2410.7,63.0
2023-08-27T15:12:33.789000+00:00,9149,1217,27,2410.7,63.0
2023-08-27T15:12:35.367000+00:00,9149,1217,77,2405.1,63.0
2023-08-27T15:12:40.054000+00:00,9149,1217,40,2396.3,63.0
2023-08-27T15:12:43.601000+00:00,9149,1217,20,2394.7,63.0
2023-08-27T15:14:14.599000+00:00,9149,1217,1,2483.3,64.0
2023-08-27T15:14:17.943000+00:00,9149,1217,14,2455.3,64.0
2023-08-27T15:14:22.318000+00:00,9149,1217,11,35.5,64.0
2023-08-27T15:14:23.771000+00:00,9149,1217,10,2443.1,64.0
2023-08-27T15:14:28.224000+00:00,9149,1217,55,2443.1,64.0
2023-08-27T15:14:31.490000+00:00,9149,1217,44,2431.1,64.0
2023-08-27T15:14:33.974000+00:00,9149,1217,4,44.2,64.0
2023-08-27T15:14:39.849000+00:00,9149,1217,63,39.8,64.0
2023-08-27T15:14:42.474000+00:00,9149,1217,23,39.2,64.0
2023-08-27T15:14:45.818000+00:00,9149,1217,81,38.4,64.0
2023-08-27T15:14:47.396000+00:00,9149,1217,31,37.0,64.0
2023-08-27T15:14:49.646000+00:00,9149,1217,22,34.9,64.0
2023-08-27T15:14:51.458000+00:00,9149,1217,18,33.5,64.0
2023-08-27T15:14:53.239000+00:00,9149,1217,27,32.8,64.0
2023-08-27T15:14:55.083000+00:00,9149,1217,77,32.5,64.0
2023-08-27T15:14:59.661000+00:00,9149,1217,40,31.3,64.0
2023-08-27T15:15:02.755000+00:00,9149,1217,20,30.6,64.0
2023-08-27T15:21:14.482000+00:00,9149,1217,63,22.3,67.0
2023-09-03T13:38:35.432000+00:00,9157,1218,10,27.3,10.0
2023-09-03T13:39:58.556000+00:00,9157,1218,24,24.3,11.0
2023-09-03T13:41:37.664000+00:00,9157,1218,20,24.6,12.0
2023-09-03T13:42:51.944000+00:00,9157,1218,40,24.2,13.0
2023-09-03T13:44:22.740000+00:00,9157,1218,2,24.7,14.0
2023-09-03T13:44:23.021000+00:00,9157,1218,27,26.0,14.0
2023-09-03T13:45:38.552000+00:00,9157,1218,23,24.5,15.0
2023-09-03T13:51:17.736000+00:00,9157,1218,55,25.1,19.0
2023-09-03T13:51:20.751000+00:00,9157,1218,63,24.2,19.0
2023-09-03T13:52:38.344000+00:00,9157,1218,1,24.2,20.0
2023-09-03T13:52:44.031000+00:00,9157,1218,16,23.9,20.0
2023-09-03T13:53:16.531000+00:00,9157,1218,18,25.6,20.0
2023-09-03T13:54:11.031000+00:00,9157,1218,11,23.8,21.0
2023-09-03T13:54:28.858000+00:00,9157,1218,14,24.7,21.0
2023-09-03T13:55:50.951000+00:00,9157,1218,4,23.7,22.0
2023-09-03T13:57:18.185000+00:00,9157,1218,81,24.1,23.0
2023-09-03T13:59:09.918000+00:00,9157,1218,31,24.2,24.0
2023-09-03T14:00:31.198000+00:00,9157,1218,77,24.6,25.0
2023-09-03T14:03:10.712000+00:00,9157,1218,44,24.2,27.0
2023-09-03T14:09:34.036000+00:00,9157,1218,10,24.6,31.0
2023-09-03T14:12:20.987000+00:00,9157,1218,40,24.2,33.0
2023-09-03T14:12:25.190000+00:00,9157,1218,24,25.9,33.0
2023-09-03T14:12:41.034000+00:00,9157,1218,20,24.7,33.0
2023-09-03T14:21:17.278000+00:00,9157,1218,27,24.3,39.0
2023-09-03T14:23:53.651000+00:00,9157,1218,81,31.7,41.0
2023-09-17T12:07:52.155000+00:00,9165,1219,24,30.0,2.0
2023-09-17T12:37:46.963000+00:00,9165,1219,2,63.5,19.0
2023-09-17T12:37:49.400000+00:00,9165,1219,55,29.4,20.0
2023-09-17T12:37:59.947000+00:00,9165,1219,63,29.9,20.0
2023-09-17T12:38:01.291000+00:00,9165,1219,4,29.4,20.0
2023-09-17T12:38:02.009000+00:00,9165,1219,16,32.8,20.0
2023-09-17T12:38:06.900000+00:00,9165,1219,44,32.6,20.0
2023-09-17T12:38:11.166000+00:00,9165,1219,14,30.6,20.0
2023-09-17T12:38:13.447000+00:00,9165,1219,31,29.7,20.0
2023-09-17T12:38:22.400000+00:00,9165,1219,20,31.4,20.0
2023-09-17T12:38:26.353000+00:00,9165,1219,10,31.8,20.0
2023-09-17T12:38:27.994000+00:00,9165,1219,81,29.3,20.0
2023-09-17T12:38:28.665000+00:00,9165,1219,40,32.3,20.0
2023-09-17T12:38:29.447000+00:00,9165,1219,27,35.4,20.0
2023-09-17T12:38:30.056000+00:00,9165,1219,23,30.1,20.0
2023-09-17T12:39:01.571000+00:00,9165,1219,24,30.6,20.0
2023-09-17T13:12:23.111000+00:00,9165,1219,11,28.9,39.0
2023-09-17T13:13:51.688000+00:00,9165,1219,1,29.6,40.0
2023-09-17T13:14:18.391000+00:00,9165,1219,77,30.4,40.0
2023-09-17T13:19:21.934000+00:00,9165,1219,23,29.7,43.0
2023-09-17T13:19:37.637000+00:00,9165,1219,20,33.0,43.0
2023-09-17T13:19:49.215000+00:00,9165,1219,2,31.0,43.0
2023-09-17T13:20:52.511000+00:00,9165,1219,63,30.0,44.0
2023-09-17T13:20:58.339000+00:00,9165,1219,44,33.5,44.0
